user_id,month,statement_balance,credit_limit,minimum_due,actual_payment,payment_returned,days_past_due
u_00000,1,6521.27,12000.0,195.64,466.98,False,0
u_00000,2,6521.28,12000.0,195.64,474.15,False,0
u_00000,3,7144.22,12000.0,214.33,484.18,False,0
u_00000,4,7144.21,12000.0,214.33,505.56,False,0
u_00000,5,7144.22,12000.0,214.33,479.28,False,0
u_00000,6,7144.22,12000.0,214.33,515.97,False,0
u_00001,1,6034.11,20000.0,181.02,716.96,False,0
u_00001,2,6956.69,20000.0,208.7,797.3,False,0
u_00001,3,9414.66,20000.0,282.44,1074.47,False,0
u_00001,4,9641.07,20000.0,289.23,1095.56,False,0
u_00001,5,9797.7,20000.0,293.93,1127.91,False,0
u_00001,6,9797.73,20000.0,293.93,1125.67,False,0
u_00002,1,7745.85,20000.0,232.38,646.52,False,0
u_00002,2,10997.95,20000.0,329.94,861.9,False,0
u_00002,3,10997.96,20000.0,329.94,943.53,False,0
u_00002,4,10997.95,20000.0,329.94,895.93,False,0
u_00002,5,10997.93,20000.0,329.94,869.95,False,0
u_00002,6,12283.5,20000.0,368.5,1000.89,False,0
u_00003,1,9630.22,20000.0,288.91,667.34,False,0
u_00003,2,9630.21,20000.0,288.91,712.89,False,0
u_00003,3,9668.1,20000.0,290.04,632.05,False,0
u_00003,4,9668.1,20000.0,290.04,666.11,False,0
u_00003,5,10025.94,20000.0,300.78,757.04,False,0
u_00003,6,10025.96,20000.0,300.78,742.52,False,0
u_00004,1,4664.62,8000.0,139.94,200.91,False,0
u_00004,2,4869.45,8000.0,146.08,243.55,True,0
u_00004,3,5031.63,8000.0,150.95,216.99,False,30
u_00004,4,5903.77,8000.0,177.11,271.23,False,0
u_00004,5,7285.57,8000.0,218.57,329.61,False,0
u_00004,6,7758.1,8000.0,232.74,342.65,False,30
u_00005,1,788.94,3000.0,23.67,107.38,False,0
u_00005,2,2060.09,3000.0,61.8,277.66,False,0
u_00005,3,2153.88,3000.0,64.62,286.17,False,0
u_00005,4,2239.15,3000.0,67.17,299.17,False,30
u_00005,5,2311.42,3000.0,69.34,318.1,False,30
u_00005,6,2951.45,3000.0,88.54,399.02,False,60
u_00006,1,2926.25,12000.0,87.79,305.56,False,0
u_00006,2,4485.49,12000.0,134.56,458.29,False,0
u_00006,3,4514.42,12000.0,135.43,485.66,False,0
u_00006,4,4514.42,12000.0,135.43,495.03,False,0
u_00006,5,4514.44,12000.0,135.43,499.02,False,0
u_00006,6,4514.43,12000.0,135.43,483.49,True,0
u_00007,1,3322.65,15000.0,99.68,450.02,False,0
u_00007,2,3598.94,15000.0,107.97,495.38,False,0
u_00007,3,3598.94,15000.0,107.97,157.57,False,30
u_00007,4,4698.85,15000.0,140.97,212.13,False,30
u_00007,5,6369.63,15000.0,191.09,294.23,False,0
u_00007,6,6420.62,15000.0,192.62,272.11,False,0
u_00008,1,1194.43,5000.0,35.83,183.61,False,0
u_00008,2,1283.47,5000.0,38.5,195.63,False,0
u_00008,3,2207.89,5000.0,66.24,329.26,False,0
u_00008,4,2298.16,5000.0,68.94,344.22,True,0
u_00008,5,2420.9,5000.0,72.63,364.05,False,0
u_00008,6,3008.58,5000.0,90.26,466.14,False,0
u_00009,1,816.04,2000.0,24.48,134.06,False,0
u_00009,2,965.36,2000.0,28.96,160.33,False,0
u_00009,3,1088.45,2000.0,32.65,179.81,False,0
u_00009,4,1290.77,2000.0,38.72,209.1,False,0
u_00009,5,2100.0,2000.0,63.0,340.64,False,0
u_00009,6,2100.0,2000.0,63.0,346.14,False,30
u_00010,1,1923.63,5000.0,57.71,346.9,False,0
u_00010,2,2423.26,5000.0,72.7,443.66,False,0
u_00010,3,2423.25,5000.0,72.7,441.81,False,0
u_00010,4,2423.24,5000.0,72.7,424.5,False,0
u_00010,5,2423.24,5000.0,72.7,433.67,False,30
u_00010,6,3499.88,5000.0,105.0,619.38,False,30
u_00011,1,6811.54,20000.0,204.35,276.3,False,0
u_00011,2,6974.94,20000.0,209.25,253.93,False,0
u_00011,3,7156.72,20000.0,214.7,258.64,False,0
u_00011,4,8897.62,20000.0,266.93,311.02,False,0
u_00011,5,9593.32,20000.0,287.8,358.03,False,30
u_00011,6,12637.4,20000.0,379.12,389.96,False,0
u_00012,1,7027.1,20000.0,210.81,1081.16,False,0
u_00012,2,9666.46,20000.0,289.99,1466.57,False,0
u_00012,3,9666.45,20000.0,289.99,414.3,False,0
u_00012,4,9882.74,20000.0,296.48,454.63,False,0
u_00012,5,10112.26,20000.0,303.37,452.34,False,0
u_00012,6,10778.44,20000.0,323.35,510.83,False,0
u_00013,1,1505.67,3000.0,45.17,219.66,False,0
u_00013,2,2407.46,3000.0,72.22,364.78,False,0
u_00013,3,2783.06,3000.0,83.49,406.76,False,0
u_00013,4,2783.04,3000.0,83.49,424.4,False,0
u_00013,5,2783.03,3000.0,83.49,406.04,False,0
u_00013,6,2783.02,3000.0,83.49,411.35,False,0
u_00014,1,1680.28,5000.0,50.41,171.7,False,0
u_00014,2,2134.01,5000.0,64.02,213.68,False,0
u_00014,3,3228.8,5000.0,96.86,330.84,False,30
u_00014,4,3228.8,5000.0,96.86,311.21,False,30
u_00014,5,4092.35,5000.0,122.77,388.86,False,30
u_00014,6,4092.35,5000.0,122.77,408.03,False,30
u_00015,1,939.84,2000.0,28.2,102.96,False,0
u_00015,2,1179.94,2000.0,35.4,131.79,False,0
u_00015,3,1391.2,2000.0,41.74,147.13,False,0
u_00015,4,2100.0,2000.0,63.0,228.05,False,0
u_00015,5,2099.99,2000.0,63.0,233.33,False,0
u_00015,6,2100.0,2000.0,63.0,230.59,False,30
u_00016,1,483.27,2000.0,14.5,29.48,False,0
u_00016,2,720.42,2000.0,21.61,47.29,False,0
u_00016,3,939.79,2000.0,28.19,34.56,False,0
u_00016,4,1327.36,2000.0,39.82,52.92,False,0
u_00016,5,1541.07,2000.0,46.23,64.41,False,0
u_00016,6,1743.29,2000.0,52.3,71.01,False,0
u_00017,1,4894.62,12000.0,146.84,736.05,False,0
u_00017,2,6122.25,12000.0,183.67,927.52,False,0
u_00017,3,6122.26,12000.0,183.67,922.66,False,0
u_00017,4,6122.26,12000.0,183.67,924.26,False,0
u_00017,5,6122.24,12000.0,183.67,927.95,False,0
u_00017,6,6404.12,12000.0,192.12,990.18,False,0
u_00018,1,9071.37,20000.0,272.14,1562.32,False,0
u_00018,2,9071.36,20000.0,272.14,1572.57,False,0
u_00018,3,9113.32,20000.0,273.4,1582.91,False,0
u_00018,4,9113.32,20000.0,273.4,1579.19,False,0
u_00018,5,9678.35,20000.0,290.35,1640.47,False,0
u_00018,6,12101.6,20000.0,363.05,2041.78,False,30
u_00019,1,6659.31,15000.0,199.78,808.14,False,0
u_00019,2,6659.28,15000.0,199.78,295.52,False,0
u_00019,3,6837.45,15000.0,205.12,276.91,False,0
u_00019,4,7203.3,15000.0,216.1,328.36,False,30
u_00019,5,8583.38,15000.0,257.5,414.84,False,0
u_00019,6,9272.25,15000.0,278.17,400.36,False,0
u_00020,1,1179.23,3000.0,35.38,81.57,False,0
u_00020,2,1938.15,3000.0,58.14,131.2,False,0
u_00020,3,3150.0,3000.0,94.5,113.67,False,0
u_00020,4,3150.0,3000.0,94.5,117.43,False,0
u_00020,5,3150.0,3000.0,94.5,117.68,False,0
u_00020,6,3150.0,3000.0,94.5,123.79,False,0
u_00021,1,2195.85,8000.0,65.88,175.25,False,0
u_00021,2,3342.49,8000.0,100.27,247.61,False,0
u_00021,3,4708.75,8000.0,141.26,389.27,False,0
u_00021,4,4708.77,8000.0,141.26,361.02,False,0
